round,source,x1,x2,y
5,legacy_week5,0.19,0.04,0.26
5,legacy_week5,0.76,0.54,0.08
5,legacy_week5,0.44,0.8,5.83
5,legacy_week5,0.35,0.32,7.76
5,legacy_week5,0.3,0.32,5.18
5,legacy_week5,0.57,0.03,0.0
5,legacy_week5,0.57,0.18,0.0
5,legacy_week5,0.83,0.79,4.03
5,legacy_week5,0.61,0.84,5.84
5,legacy_week5,0.04,0.29,0.0
5,legacy_week5,0.88,0.29,0.0
5,legacy_week5,0.96,0.03,0.0
5,legacy_week5,0.58,0.54,0.02
5,legacy_week5,0.58,0.54,5.494870748162966e-08
6,kaggle,0.337237,0.99691,-3.804856906004179e-154
7,kaggle,0.351385,0.116368,-7.140782405473071e-69
8,kaggle,0.609991,0.426998,5.722038229264154e-26
