round,source,x1,x2,x3,x4,y
5,legacy_week5,0.19,0.04,0.61,0.41,64.4
5,legacy_week5,0.76,0.54,0.66,0.36,18.3
5,legacy_week5,0.44,0.8,0.21,0.15,0.11
5,legacy_week5,0.35,0.32,0.12,0.47,109.6
5,legacy_week5,0.3,0.32,0.62,0.1,63.4
5,legacy_week5,0.57,0.03,0.88,0.82,258.4
5,legacy_week5,0.57,0.18,0.34,0.79,8.85
5,legacy_week5,0.83,0.79,0.11,0.69,4.21
5,legacy_week5,0.61,0.84,0.98,0.21,28.3
5,legacy_week5,0.04,0.29,0.98,0.56,55.5
5,legacy_week5,0.88,0.29,0.41,0.03,0.51
5,legacy_week5,0.96,0.03,0.09,0.95,18.9
5,legacy_week5,0.93,0.85,0.64,0.59,113.7
5,legacy_week5,0.85,0.94,0.48,0.76,356.9
5,legacy_week5,0.99,0.9,0.91,0.33,67.1
5,legacy_week5,0.3,0.29,0.46,0.93,78.5
5,legacy_week5,0.9,0.55,0.95,0.48,432.9
5,legacy_week5,0.5,0.66,0.31,0.26,18.2
5,legacy_week5,0.06,0.58,0.76,0.66,44.3
5,legacy_week5,0.67,0.71,0.77,0.86,257.8
5,legacy_week5,0.22,0.85,0.88,0.88,1088.9
5,legacy_week5,0.26,0.84,0.95,0.89,1550.9
5,legacy_week5,0.0,1.0,1.0,1.0,4440.5
5,legacy_week5,0.0,1.0,1.0,0.95,3819.7
5,legacy_week5,0.0,1.0,0.95,1.0,3819.7407576895994
6,kaggle,0.986591,0.866088,0.978811,0.997373,6065.515500492326
7,kaggle,0.8001,0.522596,0.993826,0.999829,2771.7958003448334
